title,area_code,r_spotId,date,avgTemp,highTemp,lowTemp,rainProb,weather,predict
새별프렌즈,7,151.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
형제해안도로,1,465.0,2023-11-17,10.583333333333334,13,9,60,4,12.913003
생각하는정원,9,154.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
감귤박물관,5,9.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
바리메오름,7,106.0,2023-11-17,10.083333333333334,12,8,60,4,12.913003
거문오름탐방안내소,8,16.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
한라생태숲,11,448.0,2023-11-17,10.833333333333334,13,8,60,4,12.913003
섭지코지전망대,2,173.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
제주해양동물박물관,2,369.0,2023-11-17,10.583333333333334,13,8,60,4,12.913003
강정포구,5,13.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
별방진,6,114.0,2023-11-17,9.708333333333334,12,7,60,4,12.913003
서프라이즈테마파크,8,168.0,2023-11-17,10.666666666666666,13,8,60,4,12.913003
보목포구,5,116.0,2023-11-17,11.958333333333334,15,10,60,4,12.913003
붉은오름,4,118.0,2023-11-17,10.208333333333334,13,8,60,4,12.913003
비양도,10,122.0,2023-11-17,10.916666666666666,12,9,60,4,12.913003
차귀도달래배낚시,9,394.0,2023-11-17,11.458333333333334,13,9,60,4,12.913003
동문공설시장,11,81.0,2023-11-19,14.5,18,11,10,1,12.883538
제주제트중문점,5,360.0,2023-11-23,14.5,17,12,40,4,12.881614
조랑말체험공원,4,372.0,2023-11-18,10.291666666666666,13,8,60,4,12.875594
제주유채꽃축제,4,358.0,2023-11-18,10.291666666666666,13,8,60,4,12.872601
소천지,5,193.0,2023-11-17,11.958333333333334,15,10,60,4,12.867251
상가리야자숲,7,147.0,2023-11-24,11.5,13,10,40,4,12.858604
중문승마공원,5,385.0,2023-11-20,14.5,17,12,0,1,12.852255
제주올레5코스,0,351.0,2023-11-19,14.5,18,11,10,1,12.830939
알뜨르비행장,1,236.0,2023-11-15,13.0,16,10,30,4,12.812218
머체왓숲길,0,98.0,2023-11-16,12.708333333333334,17,10,62,4,12.800542
쇠머리오름,2,198.0,2023-11-18,11.416666666666666,14,9,60,4,12.794181
점보빌리지,3,303.0,2023-11-16,13.5,17,12,64,4,12.791815
방림원,9,110.0,2023-11-18,11.333333333333334,13,9,60,4,12.790314
다이노대발이파크,0,64.0,2023-11-19,14.5,18,11,10,1,12.783694
아날로그감귤밭,11,226.0,2023-11-16,13.291666666666666,17,11,75,4,12.783333
산방산유채꽃밭,3,138.0,2023-11-24,11.5,13,10,40,4,12.782437
궷물오름,7,36.0,2023-11-23,14.5,17,12,40,4,12.779746
대포포구,5,71.0,2023-11-19,14.5,18,11,10,1,12.779147
금능석물원,10,41.0,2023-11-19,14.0,17,11,10,1,12.775459
감따남,5,10.0,2023-11-15,15.307692307692308,18,13,30,4,12.75073
한림매일시장,10,451.0,2023-11-15,12.23076923076923,15,9,30,4,12.739783
J1카트클럽,11,5.0,2023-11-20,14.5,17,12,0,1,12.727829
종달리해변,6,379.0,2023-11-20,13.5,17,10,0,1,12.727062
수월봉지질트레일,9,209.0,2023-11-18,11.333333333333334,13,9,60,4,12.725505
플레이네이쳐,3,431.0,2023-11-17,10.75,13,9,60,4,12.70698
영주산,4,254.0,2023-11-18,10.291666666666666,13,8,60,4,12.701306
월평포구,5,285.0,2023-11-20,14.5,17,12,0,1,12.698037
